A,B,C,D,E,F,G,H,I,J,K,Name
57.60237986,21.71321716,51.65181814,63.15491329,47.50258918,59.35367852,8.753383355,20.60375556,6.491436329,65.02040369,8.07852167,Dum
68.83133956,24.31473947,57.22687476,62.4269101,43.18838515,51.63182463,14.51357462,73.93534785,20.22459548,74.94871898,8.554908795,Dum
26.39129052,33.54386661,97.81549633,62.18773025,12.46912484,61.80451678,33.14500454,9.061499262,26.64690306,46.18949993,11.80488971,Albukerke
67.07043162,78.42686168,49.09762817,48.87778836,22.98881441,47.41170779,85.11171725,41.58710006,18.94121579,64.50461069,13.15630407,Eugene
72.76104912,48.36484052,68.36729975,44.16908925,19.68516246,68.10718056,83.20604652,52.03768479,5.54796129,74.68590499,12.09843201,Eugene
59.545945,78.88656135,65.15747249,21.71169271,22.03904219,64.93015296,54.31572103,71.58787382,7.979146211,73.80838477,12.67012506,Eugene
43.06240862,32.18144158,3.009022401,78.19632487,8.671907507,53.89293032,55.86420377,42.94998998,15.67644144,49.24287176,9.064478512,Baxan
36.47151867,63.68944391,47.35118981,59.93815976,15.68012879,73.50973725,71.59996027,71.10270399,7.113826657,85.93160464,11.27695931,Eugene
13.8760255,39.14198282,10.73901651,54.22400349,4.611417642,66.84657217,48.30359209,27.86141834,8.930248304,41.795681,9.249312266,Baxan
53.76148607,72.61600866,59.43142446,27.0594257,19.23863955,74.59714497,78.48028213,69.46911765,18.25853751,63.38738297,13.54376391,Eugene
81.15550577,44.57926511,49.26778429,73.48117041,0.600446083,65.9363208,58.72453917,57.86900833,12.2922055,43.92789866,12.59883705,Choluteco
56.17828755,22.87534737,71.33881757,66.35092668,27.27236773,57.4572166,33.73365163,66.90528009,4.261733798,60.22855726,9.602097,Dum
13.44242607,31.7704766,7.657736686,45.00442017,7.28288358,59.18788987,57.86179278,35.7185286,23.03738172,56.25226452,10.31632872,Baxan
41.49529084,68.38370581,65.45810386,3.999018961,22.68348306,52.44322406,60.71916243,38.25421534,13.50422725,72.60792172,12.32165979,Eugene
39.56424829,76.80493983,72.13157553,28.77381708,15.10309864,51.88944012,66.73923763,50.12712257,19.22119521,77.18823234,11.4625903,Eugene
41.15361185,46.71417931,54.70204518,43.03994966,21.73749397,70.31535649,83.00132412,42.79361058,11.34716167,68.72125244,11.55910458,Eugene
37.66621672,79.97618836,68.92066267,45.28955157,21.94709293,51.76011863,60.35246628,30.62912849,20.14799344,67.56369744,11.4578341,Eugene
61.05763407,64.88051943,55.19005173,42.21309999,22.6357058,71.47918205,65.02031715,72.57299175,8.594282691,66.9293292,11.40592566,Eugene
75.64466715,42.04710487,25.50089339,61.66111892,16.22457393,58.29928596,55.96066474,55.82744166,4.74451637,43.64802575,11.78226405,Choluteco
43.81304446,25.96726539,99.74118005,69.17127116,13.52876481,61.50470595,10.35064606,0.850747664,1.020633066,62.89535124,10.37063177,Albukerke
49.85744389,51.43846872,71.52412697,28.14628448,21.58727038,52.32070636,59.4994518,48.73926225,15.09311093,70.46577365,11.08830389,Eugene
77.94591584,43.53165166,31.88905858,41.34896833,3.975420921,71.00682272,56.53109316,66.24922597,31.33344724,44.62642508,12.09736259,Choluteco
74.23340501,16.86130729,46.77445191,70.42629631,11.90161509,55.16686661,17.08519619,39.11568963,13.17884709,60.13787094,8.194114926,Dum
75.02970457,40.95555447,29.7133539,69.02810579,24.02394774,73.46585629,57.84225718,69.16723239,28.31653295,48.23403881,11.14217356,Choluteco
57.02745659,76.59734491,65.80622182,29.87157049,21.56594845,60.56346828,81.01926062,35.82578238,15.26285577,86.30631524,13.93598183,Eugene
18.96658075,44.36334423,12.06487543,95.23189926,4.374915901,4.8005333,59.58228699,37.16266244,19.55807416,54.2869516,10.13561776,Baxan
67.93657336,23.08387649,60.68750417,73.66159374,22.64499906,57.08960934,11.98444704,40.8565392,21.42380842,66.69505278,8.612786886,Dum
